scenario,apport,prix_total,duree_emprunt_ans,horizon_ans,revente_factor,loyer_mois,rendement_label,principal,mensualite_mois,mortgage_paid_total,capital_restant,encaisse_revente,encaisse_Y2,proceeds_at_H,cout_childcare_total,cashflow_immo_an,net_immo_only,net_avec_babs_soir,net_avec_babs_mixte,net_avec_babs_comp,cout_net_total,heures_semaine
SC1_au_pair,10000,100000,10,3,1.0,,,90000,882,31736,66040,20006,,,18600,-10579,,,,,40330,25
SC1_location,10000,100000,10,3,1.0,600,,90000,882,31736,66040,20006,,,,-8229,14680,53074,49720,40360,14680,
SC1_location,10000,100000,10,3,1.0,1000,,90000,882,31736,66040,20006,,,,-3429,280,38674,35320,25960,280,
SC1_au_pair,10000,100000,10,3,0.98,,,90000,882,31736,66040,18285,,,18600,-10579,,,,,42051,25
SC1_location,10000,100000,10,3,0.98,600,,90000,882,31736,66040,18285,,,,-8229,16401,54795,51441,42081,16401,
SC1_location,10000,100000,10,3,0.98,1000,,90000,882,31736,66040,18285,,,,-3429,2001,40395,37041,27681,2001,
SC1_au_pair,10000,100000,10,3,0.95,,,90000,882,31736,66040,15704,,,18600,-10579,,,,,44632,25
SC1_location,10000,100000,10,3,0.95,600,,90000,882,31736,66040,15704,,,,-8229,18982,57376,54022,44662,18982,
SC1_location,10000,100000,10,3,0.95,1000,,90000,882,31736,66040,15704,,,,-3429,4582,42976,39622,30262,4582,
SC1_au_pair,10000,100000,10,5,1.0,,,90000,882,52894,48699,37347,,,31000,-10579,,,,,56546,25
SC1_location,10000,100000,10,5,1.0,600,,90000,882,52894,48699,37347,,,,-8229,13796,77786,72196,56596,13796,
SC1_location,10000,100000,10,5,1.0,1000,,90000,882,52894,48699,37347,,,,-3429,-10204,53786,48196,32596,-10204,
SC1_au_pair,10000,100000,10,5,0.98,,,90000,882,52894,48699,35627,,,31000,-10579,,,,,58267,25
SC1_location,10000,100000,10,5,0.98,600,,90000,882,52894,48699,35627,,,,-8229,15517,79507,73917,58317,15517,
SC1_location,10000,100000,10,5,0.98,1000,,90000,882,52894,48699,35627,,,,-3429,-8483,55507,49917,34317,-8483,
SC1_au_pair,10000,100000,10,5,0.95,,,90000,882,52894,48699,33045,,,31000,-10579,,,,,60849,25
SC1_location,10000,100000,10,5,0.95,600,,90000,882,52894,48699,33045,,,,-8229,18099,82089,76499,60899,18099,
SC1_location,10000,100000,10,5,0.95,1000,,90000,882,52894,48699,33045,,,,-3429,-5901,58089,52499,36899,-5901,
SC1_au_pair,10000,100000,10,7,1.0,,,90000,882,74051,30177,55870,,,43400,-10579,,,,,71582,25
SC1_location,10000,100000,10,7,1.0,600,,90000,882,74051,30177,55870,,,,-8229,11732,101318,93492,71652,11732,
SC1_location,10000,100000,10,7,1.0,1000,,90000,882,74051,30177,55870,,,,-3429,-21868,67718,59892,38052,-21868,
SC1_au_pair,10000,100000,10,7,0.98,,,90000,882,74051,30177,54149,,,43400,-10579,,,,,73302,25
SC1_location,10000,100000,10,7,0.98,600,,90000,882,74051,30177,54149,,,,-8229,13452,103038,95212,73372,13452,
SC1_location,10000,100000,10,7,0.98,1000,,90000,882,74051,30177,54149,,,,-3429,-20148,69438,61612,39772,-20148,
SC1_au_pair,10000,100000,10,7,0.95,,,90000,882,74051,30177,51568,,,43400,-10579,,,,,75884,25
SC1_location,10000,100000,10,7,0.95,600,,90000,882,74051,30177,51568,,,,-8229,16034,105620,97794,75954,16034,
SC1_location,10000,100000,10,7,0.95,1000,,90000,882,74051,30177,51568,,,,-3429,-17566,72020,64194,42354,-17566,
SC1_au_pair,10000,100000,15,3,1.0,,,90000,635,22845,75373,10674,,,18600,-7615,,,,,40771,25
SC1_location,10000,100000,15,3,1.0,600,,90000,635,22845,75373,10674,,,,-5265,15121,53515,50161,40801,15121,
SC1_location,10000,100000,15,3,1.0,1000,,90000,635,22845,75373,10674,,,,-465,721,39115,35761,26401,721,
SC1_au_pair,10000,100000,15,3,0.98,,,90000,635,22845,75373,8953,,,18600,-7615,,,,,42492,25
SC1_location,10000,100000,15,3,0.98,600,,90000,635,22845,75373,8953,,,,-5265,16842,55236,51882,42522,16842,
SC1_location,10000,100000,15,3,0.98,1000,,90000,635,22845,75373,8953,,,,-465,2442,40836,37482,28122,2442,
SC1_au_pair,10000,100000,15,3,0.95,,,90000,635,22845,75373,6371,,,18600,-7615,,,,,45074,25
